zipcode,agi_stub,N1,mars1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,A02650,A00200,N26270,A26270,N03210,A18425,A18300,A04800,N12000,A12000
60012,6,770,30,730,0,520,2410,920,303262,306793,197706,260,41032,0,6435,3438,270570,100,3644
60013,1,3660,3070,270,290,1620,3090,710,38628,39220,30153,80,4,160,38,670,6786,30,20
60013,2,2270,1350,480,380,1140,3780,1080,83794,84997,68433,110,813,310,244,1293,46507,30,34
60013,3,1760,840,660,220,910,3410,1000,108942,110303,83761,120,1789,300,764,2389,75010,40,110
60013,4,1460,400,900,140,840,3490,1140,126957,128678,96898,120,2403,190,1102,2948,94094,30,77
60013,5,2980,300,2560,130,1620,8520,2990,413422,417984,329097,330,7006,440,3561,6509,336730,100,477
60013,6,1200,70,1120,0,740,3840,1520,433981,437631,325528,290,36397,0,8119,5192,392434,120,3144
60014,1,7060,5790,520,670,2940,6560,1560,78562,79691,62386,120,214,310,41,990,14415,40,68
60014,2,4780,2840,920,880,2330,8280,2640,175476,177875,142675,180,1601,640,387,2336,97705,60,103
60014,3,3320,1500,1280,440,1750,6740,2160,204492,207010,160195,200,3619,570,1121,4099,141114,70,163
60014,4,2430,610,1590,190,1330,5910,1900,211664,214258,162472,180,3323,350,1477,3931,156521,60,152
60014,5,4880,520,4140,170,2610,14060,5050,674194,681213,524166,540,14383,750,5664,10221,548938,190,1009
60014,6,1750,100,1610,30,1160,5380,2040,687461,694925,427562,510,72880,0,15281,7425,619465,200,11164
60015,1,3390,2970,240,140,2040,2290,400,30334,31346,20049,160,-850,110,143,855,6373,110,266
60015,2,1560,1040,320,150,1000,2370,570,58267,60156,38740,170,1476,160,283,1795,32357,100,315
